OF,Temp [F]
0.8,2352.056
0.812121212,2422.958
0.824242424,2493.59
0.836363636,2563.808
0.848484848,2633.468
0.860606061,2702.57
0.872727273,2771.006
0.884848485,2838.812
0.896969697,2905.952
0.909090909,2972.426
0.921212121,3038.234
0.933333333,3103.394
0.945454545,3167.852
0.957575758,3231.68
0.96969697,3294.77
0.981818182,3357.158
0.993939394,3418.808
1.006060606,3479.954
1.018181818,3540.02
1.03030303,3599.348
1.042424242,3657.902
1.054545455,3715.664
1.066666667,3773.084
1.078787879,3829.208
1.090909091,3884.468
1.103030303,3938.882
1.115151515,3992.864
1.127272727,4045.496
1.139393939,4097.21
1.151515152,4148.024
1.163636364,4197.866
1.175757576,4247.168
1.187878788,4295.102
1.2,4342.046
1.212121212,4388.018
1.224242424,4432.964
1.236363636,4477.298
1.248484848,4520.246
1.260606061,4562.186
1.272727273,4603.1
1.284848485,4642.97
1.296969697,4682.138
1.309090909,4719.956
1.321212121,4756.748
1.333333333,4792.532
1.345454545,4827.56
1.357575758,4861.274
1.36969697,4893.926
1.381818182,4925.57
1.393939394,4956.224
1.406060606,4986.122
1.418181818,5014.778
1.43030303,5042.462
1.442424242,5069.156
1.454545455,5094.896
1.466666667,5119.88
1.478787879,5143.676
1.490909091,5166.554
1.503030303,5188.586
1.515151515,5209.898
1.527272727,5230.166
1.539393939,5249.606
1.551515152,5268.2
1.563636364,5286.02
1.575757576,5303.174
1.587878788,5319.446
1.6,5334.998
1.612121212,5349.812
1.624242424,5363.888
1.636363636,5377.478
1.648484848,5390.258
1.660606061,5402.48
1.672727273,5414.108
1.684848485,5425.178
1.696969697,5435.78
1.709090909,5445.77
1.721212121,5455.256
1.733333333,5464.256
1.745454545,5472.86
1.757575758,5480.96
1.76969697,5488.628
1.781818182,5495.882
1.793939394,5502.758
1.806060606,5509.31
1.818181818,5515.448
1.83030303,5521.244
1.842424242,5526.716
1.854545455,5531.864
1.866666667,5536.76
1.878787879,5541.332
1.890909091,5545.616
1.903030303,5549.648
1.915151515,5553.464
1.927272727,5556.992
1.939393939,5560.214
1.951515152,5563.292
1.963636364,5566.064
1.975757576,5568.854
1.987878788,5571.23
2,5573.516
